insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (1, 'Luis', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (113, 'Gasper', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (114, 'Engracia', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (115, 'Nathalia', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (116, 'Camila', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (117, 'Kevina', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (118, 'Luther', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (119, 'Wadsworth', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (120, 'Gretta', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (121, 'Roz', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (122, 'Minne', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (123, 'Beret', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (124, 'Danila', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (125, 'Dulcie', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (126, 'Anetta', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (127, 'Darsie', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (128, 'Shirlee', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (129, 'Ludovico', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (130, 'Eloise', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (131, 'Dulcine', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (132, 'Felix', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (133, 'Loralyn', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (134, 'Brannon', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (135, 'Aloin', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (136, 'Michelle', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (137, 'Magda', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (138, 'Taddeo', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (139, 'Olwen', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (140, 'Kenny', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (141, 'Devondra', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (142, 'Binnie', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (143, 'Nicoline', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (144, 'Ranice', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (145, 'Gibby', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (146, 'Simona', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (147, 'Karlene', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (148, 'Oralla', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (149, 'Austine', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (150, 'Emmerich', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (151, 'Didi', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (152, 'Vic', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (153, 'Pearle', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (154, 'Hyacinth', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (155, 'Emanuel', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (156, 'Gillan', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (157, 'Maren', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (158, 'Starlene', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (159, 'Anette', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (160, 'Rosalind', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (161, 'Nat', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (162, 'Sheeree', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (163, 'Audra', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (164, 'Kathie', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (165, 'Joly', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (166, 'Jessalin', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (167, 'Adriane', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (168, 'Filbert', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (169, 'Lari', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (170, 'Allard', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (171, 'Martie', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (172, 'Amos', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (173, 'Maximilianus', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (174, 'Marjie', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (175, 'Lemar', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (176, 'Carola', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (177, 'Melicent', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (178, 'Doyle', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (179, 'Estrella', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (180, 'D''arcy', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (181, 'Quentin', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (182, 'Isobel', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (183, 'Akim', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (184, 'Philbert', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (185, 'Gerhard', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (186, 'Rip', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (187, 'Dynah', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (188, 'Liliane', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (189, 'Karia', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (190, 'Beatrix', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (191, 'Bobbe', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (192, 'Betteanne', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (193, 'Drucill', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (194, 'Melodee', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (195, 'Marcela', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (196, 'Hercules', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (197, 'Gabie', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (198, 'Gavra', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (199, 'Marvin', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (200, 'Benedetta', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (201, 'Cathleen', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (202, 'Blair', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (203, 'Ethelred', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (204, 'Rog', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (205, 'Shalna', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (206, 'Hedvige', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (207, 'Jermaine', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (208, 'Andi', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (209, 'Shea', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (210, 'Waylin', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (211, 'Mauricio', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (212, 'Ash', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (213, 'Catherina', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (214, 'Josey', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (215, 'Forbes', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (216, 'Mirna', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (217, 'Page', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (218, 'Ogden', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (219, 'Ailyn', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (220, 'Cyndie', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (221, 'Saw', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (222, 'Flem', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (223, 'Simonette', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (224, 'Michail', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (225, 'Deny', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (226, 'Salmon', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (227, 'Bernelle', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (228, 'Kaylee', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (229, 'Wylie', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (230, 'Ambur', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (231, 'Rory', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (232, 'Anthony', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (233, 'Cassie', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (234, 'Marylee', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (235, 'Tadd', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (236, 'Tanitansy', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (237, 'Stacia', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (238, 'Lonny', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (239, 'Kacie', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (240, 'Dollie', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (241, 'Arleta', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (242, 'Kirby', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (243, 'Gill', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (244, 'Margie', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (245, 'Jesus', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (246, 'Vasili', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (247, 'Isis', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (248, 'Brook', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (249, 'Kellina', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (250, 'Jillayne', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (251, 'Davin', 'Administrador');
